message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0243
msg_091,mute,scam,This is the first message from the sender and it asks for sensitive verification or payment.,0.87,none
msg_090,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0338
msg_048,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0151
msg_040,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0136;message_0017
msg_075,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0206
msg_005,digest,promotion,The message matches the user's known interests but is still low priority.,0.84,message_0049
msg_104,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0050
msg_069,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0042
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.85,message_0056
msg_070,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.81,message_0023;message_0045
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0031
msg_099,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0055;message_0227
msg_008,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0072;message_0296
msg_092,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0345
msg_060,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0284
msg_004,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0005
msg_030,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0115
msg_045,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0031
msg_052,mute,scam,The message is from an unverified or spoofed business domain posing security risk.,0.9,message_0207
msg_009,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0074
msg_071,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0007;message_0033
msg_016,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0024
msg_065,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0261
msg_038,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0132;message_0131
msg_086,notify,business_update,A verified business is sending a real-time ride update requiring timely attention.,0.9,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0017;message_0018
msg_094,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0356
msg_029,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0095
msg_105,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0233;message_0373
msg_002,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0041;message_0003
msg_010,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0011
msg_078,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0048
msg_013,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0009
msg_018,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0026
msg_044,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0143
